rssi_timestamp,entry_type,image_filename,marker_id,x,y,z,ransac_threshold,filter_type,is_global_position,marker_count,images_processed,successful_images,ransac_population,is_ransac_excluded,image_timestamp
1762307594992,IMAGE,image_0041_1762307594178.matphoto,32,1.2834545948836282,21.235667713659986,1.3963743483487958,,,false,1,4,4,,false,1.762307594178E12
1762307594992,IMAGE,image_0041_1762307594178.matphoto,29,1.29916382520137,21.258775659119053,1.3932623313296926,,,false,1,4,4,,false,1.762307594178E12
1762307594992,IMAGE,image_0041_1762307594178.matphoto,5,1.3164787318758342,21.270168996673206,1.411702068589132,,,false,1,4,4,,false,1.762307594178E12
1762307594992,IMAGE,image_0041_1762307594178.matphoto,1,1.2633984566565895,21.20608093247415,1.4442984308876803,,,false,1,4,4,,false,1.762307594178E12
1762307594992,IMAGE,image_0043_1762307594711.matphoto,32,1.2458155462969234,20.89540007437774,1.4066114668193932,,,false,1,4,4,,true,1.762307594711E12
1762307594992,IMAGE,image_0043_1762307594711.matphoto,8,1.3095931205531515,20.907257856939793,1.4157245923177824,,,false,1,4,4,,true,1.762307594711E12
1762307594992,IMAGE,image_0043_1762307594711.matphoto,5,1.2221647696266598,20.935885093097284,1.3958586129150112,,,false,1,4,4,,false,1.762307594711E12
1762307594992,IMAGE,image_0043_1762307594711.matphoto,29,1.2916025379372296,20.8649372614642,1.3753389980158486,,,false,1,4,4,,true,1.762307594711E12
1762307594992,IMAGE,image_0043_1762307594711.matphoto,1,1.2780545556935843,20.919574730748696,1.4258890114531295,,,false,1,4,4,,false,1.762307594711E12
1762307594992,IMAGE,image_0044_1762307594966.matphoto,38,1.2852066911016118,20.736595532259102,1.4337562673704531,,,false,1,4,4,,true,1.762307594966E12
1762307594992,IMAGE,image_0044_1762307594966.matphoto,8,1.30369158862479,20.762414256418822,1.4326267250178346,,,false,1,4,4,,true,1.762307594966E12
1762307594992,IMAGE,image_0044_1762307594966.matphoto,5,1.2422052447346656,20.785005759444125,1.4374554102116563,,,false,1,4,4,,true,1.762307594966E12
1762307594992,IMAGE,image_0044_1762307594966.matphoto,29,1.2877473238286021,20.714876707231056,1.3946834994463855,,,false,1,4,4,,true,1.762307594966E12
1762307595195,GLOBAL,,-1,1.2877473238286021,20.762414256418822,1.4157245923177824,0.2,WEIGHTED_MEDIAN,true,11,3,3,9,false,
1762307595195,IMAGE,image_0042_1762307594440.matphoto,38,1.3120272720570676,21.11213196719142,1.4069413978824792,,,false,1,3,3,,true,1.76230759444E12
1762307595195,IMAGE,image_0042_1762307594440.matphoto,8,1.3373152471174428,21.137162425706485,1.417931050939648,,,false,1,3,3,,true,1.76230759444E12
1762307595195,IMAGE,image_0043_1762307594711.matphoto,32,1.2458155462969234,20.89540007437774,1.4066114668193932,,,false,1,3,3,,false,1.762307594711E12
1762307595195,IMAGE,image_0043_1762307594711.matphoto,8,1.3095931205531515,20.907257856939793,1.4157245923177824,,,false,1,3,3,,false,1.762307594711E12
1762307595195,IMAGE,image_0043_1762307594711.matphoto,5,1.2221647696266598,20.935885093097284,1.3958586129150112,,,false,1,3,3,,false,1.762307594711E12
1762307595195,IMAGE,image_0043_1762307594711.matphoto,29,1.2916025379372296,20.8649372614642,1.3753389980158486,,,false,1,3,3,,false,1.762307594711E12
1762307595195,IMAGE,image_0043_1762307594711.matphoto,1,1.2780545556935843,20.919574730748696,1.4258890114531295,,,false,1,3,3,,false,1.762307594711E12
1762307595195,IMAGE,image_0044_1762307594966.matphoto,38,1.2852066911016118,20.736595532259102,1.4337562673704531,,,false,1,3,3,,false,1.762307594966E12
1762307595195,IMAGE,image_0044_1762307594966.matphoto,8,1.30369158862479,20.762414256418822,1.4326267250178346,,,false,1,3,3,,false,1.762307594966E12
1762307595195,IMAGE,image_0044_1762307594966.matphoto,5,1.2422052447346656,20.785005759444125,1.4374554102116563,,,false,1,3,3,,false,1.762307594966E12
1762307595195,IMAGE,image_0044_1762307594966.matphoto,29,1.2877473238286021,20.714876707231056,1.3946834994463855,,,false,1,3,3,,false,1.762307594966E12
1762307595256,GLOBAL,,-1,1.30369158862479,20.736595532259102,1.430809728154425,0.2,WEIGHTED_MEDIAN,true,14,4,4,12,false,
1762307595256,IMAGE,image_0042_1762307594440.matphoto,38,1.3120272720570676,21.11213196719142,1.4069413978824792,,,false,1,4,4,,true,1.76230759444E12
1762307595256,IMAGE,image_0042_1762307594440.matphoto,8,1.3373152471174428,21.137162425706485,1.417931050939648,,,false,1,4,4,,true,1.76230759444E12
1762307595256,IMAGE,image_0043_1762307594711.matphoto,32,1.2458155462969234,20.89540007437774,1.4066114668193932,,,false,1,4,4,,false,1.762307594711E12
1762307595256,IMAGE,image_0043_1762307594711.matphoto,8,1.3095931205531515,20.907257856939793,1.4157245923177824,,,false,1,4,4,,false,1.762307594711E12
1762307595256,IMAGE,image_0043_1762307594711.matphoto,5,1.2221647696266598,20.935885093097284,1.3958586129150112,,,false,1,4,4,,false,1.762307594711E12
1762307595256,IMAGE,image_0043_1762307594711.matphoto,29,1.2916025379372296,20.8649372614642,1.3753389980158486,,,false,1,4,4,,false,1.762307594711E12
1762307595256,IMAGE,image_0043_1762307594711.matphoto,1,1.2780545556935843,20.919574730748696,1.4258890114531295,,,false,1,4,4,,false,1.762307594711E12
1762307595256,IMAGE,image_0044_1762307594966.matphoto,38,1.2852066911016118,20.736595532259102,1.4337562673704531,,,false,1,4,4,,false,1.762307594966E12
1762307595256,IMAGE,image_0044_1762307594966.matphoto,8,1.30369158862479,20.762414256418822,1.4326267250178346,,,false,1,4,4,,false,1.762307594966E12
1762307595256,IMAGE,image_0044_1762307594966.matphoto,5,1.2422052447346656,20.785005759444125,1.4374554102116563,,,false,1,4,4,,false,1.762307594966E12
1762307595256,IMAGE,image_0044_1762307594966.matphoto,29,1.2877473238286021,20.714876707231056,1.3946834994463855,,,false,1,4,4,,false,1.762307594966E12
1762307595256,IMAGE,image_0045_1762307595246.matphoto,38,1.3262221191975612,20.596080030019806,1.430809728154425,,,false,1,4,4,,false,1.762307595246E12
1762307595256,IMAGE,image_0045_1762307595246.matphoto,8,1.3479653254259993,20.620634266942968,1.4331486982347592,,,false,1,4,4,,false,1.762307595246E12
1762307595256,IMAGE,image_0045_1762307595246.matphoto,29,1.3333752075487326,20.578255466191834,1.3985127958169636,,,false,1,4,4,,false,1.762307595246E12
1762307595491,GLOBAL,,-1,1.30369158862479,20.736595532259102,1.430809728154425,0.2,WEIGHTED_MEDIAN,true,12,3,3,12,false,
1762307595491,IMAGE,image_0043_1762307594711.matphoto,32,1.2458155462969234,20.89540007437774,1.4066114668193932,,,false,1,3,3,,false,1.762307594711E12
1762307595491,IMAGE,image_0043_1762307594711.matphoto,8,1.3095931205531515,20.907257856939793,1.4157245923177824,,,false,1,3,3,,false,1.762307594711E12
1762307595491,IMAGE,image_0043_1762307594711.matphoto,5,1.2221647696266598,20.935885093097284,1.3958586129150112,,,false,1,3,3,,false,1.762307594711E12
1762307595491,IMAGE,image_0043_1762307594711.matphoto,29,1.2916025379372296,20.8649372614642,1.3753389980158486,,,false,1,3,3,,false,1.762307594711E12
